iter	Passed	Remaining
0	4	6798
1	10	7564
2	21	10047
3	27	9503
4	32	9152
5	38	9034
6	41	8339
7	45	7916
8	54	8407
9	58	8063
10	60	7622
11	63	7319
12	68	7358
13	72	7166
14	75	6983
15	77	6732
16	80	6540
17	85	6560
18	88	6410
19	91	6296
20	93	6126
21	96	6057
22	101	6094
23	105	6025
24	109	6012
25	111	5904
26	113	5787
27	116	5705
28	118	5612
29	120	5515
30	123	5442
31	133	5701
32	136	5647
33	138	5579
34	140	5491
35	142	5404
36	144	5332
37	146	5262
38	149	5207
39	151	5146
40	155	5138
41	157	5084
42	169	5341
43	172	5320
44	174	5257
45	176	5200
46	178	5144
47	185	5227
48	187	5164
49	189	5104
50	190	5046
51	193	5008
52	195	4979
53	198	4937
54	200	4903
55	203	4876
56	205	4838
57	209	4844
58	211	4803
59	214	4800
60	219	4822
61	223	4813
62	227	4830
63	231	4829
64	234	4811
65	236	4773
66	238	4735
67	240	4712
68	242	4678
69	244	4645
70	246	4609
71	250	4617
72	254	4631
73	256	4601
74	259	4576
75	261	4547
76	263	4527
77	265	4505
78	267	4476
79	269	4449
80	271	4420
81	273	4399
82	275	4377
83	278	4359
84	282	4376
85	290	4436
86	292	4412
87	295	4399
88	299	4405
89	303	4412
90	305	4387
91	307	4366
92	309	4344
93	310	4320
94	313	4301
95	315	4282
96	317	4271
97	320	4252
98	321	4229
99	324	4223
100	327	4209
101	330	4207
102	335	4221
103	338	4213
104	341	4209
105	343	4189
106	345	4169
107	347	4157
108	349	4139
109	352	4130
110	354	4112
111	368	4238
112	371	4227
113	373	4211
114	375	4193
115	377	4175
116	379	4165
117	382	4150
118	384	4140
119	387	4129
120	389	4113
121	391	4097
122	395	4101
123	399	4112
124	405	4137
125	407	4120
126	409	4105
127	416	4143
128	419	4131
129	421	4116
130	423	4100
131	426	4095
132	428	4083
133	431	4073
134	433	4062
135	435	4051
136	437	4037
137	440	4024
138	444	4029
139	448	4040
140	452	4037
141	454	4024
142	456	4009
143	458	3997
144	461	3992
145	463	3982
146	467	3983
147	475	4018
148	477	4011
149	480	4007
150	482	3994
151	484	3981
152	486	3969
153	488	3955
154	491	3943
155	495	3950
156	497	3940
157	499	3927
158	512	4001
159	514	3988
160	516	3976
161	519	3966
162	522	3963
163	525	3957
164	527	3949
165	530	3942
166	532	3934
167	535	3926
168	537	3913
169	539	3905
170	542	3899
171	545	3894
172	547	3882
173	549	3869
174	552	3865
175	556	3872
176	560	3875
177	564	3872
178	567	3870
179	569	3859
180	571	3847
181	573	3840
182	576	3835
183	578	3824
184	581	3821
185	593	3873
186	596	3867
187	598	3858
188	600	3846
189	602	3835
190	604	3828
191	608	3826
192	610	3819
193	612	3810
194	615	3800
195	618	3800
196	623	3805
197	639	3879
198	643	3881
199	647	3882
200	648	3871
201	651	3861
202	653	3851
203	655	3844
204	658	3840
205	661	3835
206	664	3828
207	667	3823
208	669	3816
209	671	3805
210	673	3797
211	686	3844
212	688	3834
213	690	3828
214	692	3818
215	694	3809
216	696	3799
217	698	3788
218	701	3785
219	704	3777
220	706	3770
221	709	3762
222	711	3754
223	713	3745
224	715	3736
225	717	3726
226	719	3717
227	726	3732
228	728	3723
229	742	3775
230	744	3769
231	746	3760
232	750	3757
233	753	3752
234	755	3743
235	757	3734
236	759	3725
237	761	3716
238	763	3708
239	765	3698
240	767	3689
241	769	3683
242	773	3681
243	775	3671
244	776	3662
245	780	3661
246	784	3663
247	787	3659
248	789	3651
249	791	3642
250	793	3634
251	795	3625
252	797	3616
253	799	3607
254	803	3605
255	807	3608
256	809	3600
257	811	3591
258	813	3582
259	815	3573
260	816	3565
261	819	3558
262	821	3550
263	823	3543
264	825	3535
265	827	3526
266	829	3520
267	833	3522
268	839	3529
269	842	3523
270	843	3516
271	846	3510
272	849	3508
273	851	3500
274	853	3492
275	856	3488
276	858	3481
277	860	3474
278	862	3465
279	864	3458
280	866	3449
281	868	3443
282	871	3439
283	873	3431
284	876	3430
285	881	3432
286	883	3428
287	886	3421
288	888	3414
289	890	3409
290	892	3402
291	894	3395
292	896	3388
293	900	3388
294	903	3385
295	907	3384
296	911	3383
297	916	3389
298	922	3395
299	929	3406
300	935	3415
301	939	3417
302	944	3418
303	949	3422
304	954	3425
305	959	3429
306	962	3427
307	964	3420
308	968	3420
